SE No.,Book Title,Author,Publication Year,Original Language,Genre,No. of Words,Time,Reading Ease (no.),Reading Ease (Category),Translated By,Illustrated by,Part of a Series,Cover Page Artwork Adapted from,Cover Page Artwork Completed in,Cover Page Artist,Typefaces (on the cover and the title pages),Typefaces created by,Release Date and Time (on Standard Ebooks),Download (or Read Online)
0001037,Poetry,Frances Ellen Watkins Harper,1853-1901,English,Poetry,"41,453",2 hours 31 minutes,72.9,Fairly easy,,,No,The Way They Live,1879,Thomas Anshutz,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 29, 2024, 6:16 p.m.",Download
0001038,Poetry,W. B. Yeats,1885-1928,English,Poetry,"64,024",3 hours 53 minutes,65.69,Average difficulty,,,No,The Threatened Swan,1650,Jan Asselijn,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 29, 2024, 7:22 p.m.",Download
0001039,Under Western Eyes,Joseph Conrad,1911,English,Fiction,"114,683",6 hours 58 minutes,65.62,Average difficulty,,,No,Nonchaloir (Repose),1911,John Singer Sargent,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 29, 2024, 7:52 p.m.",Download
0001040,Nicholas Nickleby,Charles Dickens,1839,English,Fiction,"330,029",20 hours 1 minute,68.3,Average difficulty,,,No,The Last In,1835,William Mulready,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 29, 2024, 8:55 p.m.",Download
0001041,The Doctor’s Dilemma,George Bernard Shaw,1909,English,Drama,"61,977",3 hours 46 minutes,64.51,Average difficulty,,,No,Chesham Street,1901,George Lambert,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 4, 2024, 5:32 p.m.",Download
0001042,A Strange Disappearance,Anna Katharine Green,1879,English,"Fiction, Mystery","51,595",3 hours 8 minutes,75.54,Fairly easy,,,Yes,Building New York,1917,Leon Kroll,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 4, 2024, 5:48 p.m.",Download
0001043,The Getting of Wisdom,Henry Handel Richardson,1910,English,"Children’s, Fiction","73,928",4 hours 29 minutes,70.43,Fairly easy,,,No,Story of Golden Locks,1870,Seymour Joseph Guy,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 4, 2024, 8:39 p.m.",Download
0001044,The Theory of Moral Sentiments,Adam Smith,1759,English,Philosophy,"161,185",9 hours 47 minutes,38.18,Very difficult,,,No,Salisbury Cathedral from the Bishop’s Grounds,1825,John Constable,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 6, 2024, 9:39 p.m.",Download
0001045,Short Fiction,Henry Kuttner,1936-54,English,"Horror, Science Fiction, Shorts","111,466",6 hours 46 minutes,78.14,Fairly easy,,,No,Construction in Blue,1925,Paul Gaulois,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 9, 2024, 6:58 p.m.",Download
0001046,An Enquiry Concerning Human Understanding,David Hume,1748,English,Philosophy,"48,005",2 hours 55 minutes,37.37,Very difficult,,,No,David Hume,1766,Allan Ramsay,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 9, 2024, 7:27 p.m.",Download
0001047,The Adventures of Captain Hatteras,Jules Verne,1864,French,Fiction,"129,468",7 hours 51 minutes,69.01,Fairly easy,James R. Osgood and Company,,Yes,The Explorer A. E. Nordenskiöld,1886,Georg von Rosen,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 12, 2024, 5:08 p.m.",Download
0001048,Short Fiction,F. Scott Fitzgerald,1917-28,English,"Fiction, Shorts","303,735",18 hours 25 minutes,73.47,Fairly easy,,,No,My Daughter Gladys,1913,Irving R. Wiles,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 12, 2024, 6:37 p.m.",Download
0001049,Polynesian Mythology,George Grey (with Te Rāngikaheke),1855,English,"Nonfiction, Spirituality","95,432",5 hours 48 minutes,52.77,Fairly difficult,,,No,Tāwhiao Matutaera Pōtatau Te Wherowhero,1882,Gottfried Lindauer,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 12, 2024, 9:04 p.m.",Download
0001050,Women in Love,D. H. Lawrence,1920,English,Fiction,"184,447",11 hours 11 minutes,76.01,Fairly easy,,,Yes,Girl Arranging Her Hair,1918-19,Abbott Handerson Thayer,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 13, 2024, 3:41 a.m.",Download
0001051,The Libation Bearers,Aeschylus,-458,Ancient Greek,Drama,"11,586",43 minutes,80.72,Easy,Gilbert Murray,,Yes,Electra at the Tomb of Agamemnon,1869,Frederick Leighton,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 18, 2024, 4:57 p.m.",Download
0001052,The Splendid Spur,Arthur Quiller-Couch,1889,English,"Adventure, Fiction","72,077",4 hours 23 minutes,77.98,Fairly easy,,,No,A Landscape with a Horseman,1850,John Middleton,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 18, 2024, 5:23 p.m.",Download
0001053,The Eumenides,Aeschylus,-458,Ancient Greek,Drama,"12,080",44 minutes,71.34,Fairly easy,Gilbert Murray,,Yes,Orestes Pursued by the Furies,1862,William-Adolphe Bouguereau,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 23, 2024, 9:48 p.m.",Download
0001054,Rachel Ray,Anthony Trollope,1863,English,Fiction,"146,110",8 hours 52 minutes,80.62,Easy,,,No,Mary Cadwalader Rawle,1868,William Oliver Stone,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 26, 2024, 8:04 p.m.",Download
0001055,Zuni Folktales,Frank Hamilton Cushing,1901,English,"Fantasy, Shorts","122,303",7 hours 25 minutes,77.06,Fairly easy,,,No,"Old Man of Zuni, High Priest (Cacique)",1924,Gerald Cassidy,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 26, 2024, 9:26 p.m.",Download
0001056,The Pickwick Papers,Charles Dickens,1836,English,Fiction,"307,599",18 hours 39 minutes,71.65,Fairly easy,,,No,Mr. Pickwick,1910,Frank Reynolds,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 2, 2024, 12:05 a.m.",Download
0001057,The House of the Seven Gables,Nathaniel Hawthorne,1851,English,Fiction,"105,012",6 hours 22 minutes,56.39,Fairly difficult,,,No,Bondehave Fra Mjøstrakterne,1929,Gerhard Munthe,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 2, 2024, 2:28 a.m.",Download
0001058,Beyond Thirty,Edgar Rice Burroughs,1916,English,"Adventure, Fantasy, Science Fiction","38,047",2 hours 19 minutes,67.59,Average difficulty,,,No,"Lion in Artis, Amsterdam",1876,Auguste Allebé,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 9, 2024, 10:03 p.m.",Download
0001059,The Social Contract,Jean-Jacques Rousseau,1762,French,"Nonfiction, Philosophy","56,521",3 hours 26 minutes,50.91,Fairly difficult,G. D. H. Cole,,No,Jean-Jacques Rousseau,1766,Allan Ramsay,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 9, 2024, 11:39 p.m.",Download
0001060,The Magic City,E. Nesbit,1910,English,"Children’s, Fantasy","60,375",3 hours 40 minutes,83.05,Easy,,,No,The Ideal City,1480,Anonymous,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 11, 2024, 4:12 p.m.",Download
0001061,Democracy and Social Ethics,Jane Addams,1902,English,"Nonfiction, Philosophy","46,615",2 hours 50 minutes,38.69,Very difficult,,,No,Jane Addams,1906,George de Forest Brush,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 11, 2024, 5:09 p.m.",Download
0001062,Buddenbrooks,Thomas Mann,1901,German,Fiction,"234,439",14 hours 13 minutes,70.63,Fairly easy,H. T. Lowe-Porter,,No,Self-Portrait of the Artist with His Brother,1840,Franz Xaver Winterhalter,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 14, 2024, 6:34 p.m.",Download
0001063,The Monster,Edgar Saltus,1912,English,Fiction,"43,900",2 hours 40 minutes,76.01,Fairly easy,,,No,Portrait of Mrs. E. Gadolin-Lagervall,1901,Magnus Enckell,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 14, 2024, 6:47 p.m.",Download
0001064,Scarlet Sister Mary,Julia Peterkin,1928,English,Fiction,"72,521",4 hours 24 minutes,81.83,Easy,,,No,A Dog Swap,1881,Richard Norris Brooke,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 15, 2024, 3:48 p.m.",Download
0001065,The Stainless Steel Rat,Harry Harrison,1961,English,Science Fiction,"52,840",3 hours 13 minutes,73.68,Fairly easy,,,Yes,Tableau no. 1,1913,Piet Mondrian,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 19, 2024, 6:13 p.m.",Download
0001066,Agamemnon,Aeschylus,-458,Ancient Greek,Drama,"17,692",1 hour 5 minutes,79.9,Easy,Gilbert Murray,,Yes,Clytemnestra,1882,John Collier,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 19, 2024, 7:03 p.m.",Download
0001067,Mauprat,George Sand,1837,French,Fiction,"124,364",7 hours 33 minutes,66.27,Average difficulty,Stanley Young,,No,Portrait of a Young Woman,1797,Élisabeth Louise Vigée Le Brun,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 21, 2024, 4:36 p.m.",Download
0001068,The Mother,Pearl S. Buck,1934,English,Fiction,"79,477",4 hours 50 minutes,73.24,Fairly easy,,,No,A View in China: Cultivating the Tea Plant,1810,William Daniell,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 21, 2024, 4:49 p.m.",Download
0001069,"Tarzan, Lord of the Jungle",Edgar Rice Burroughs,1928,English,"Adventure, Fiction","70,454",4 hours 17 minutes,78.99,Fairly easy,,,Yes,"Tarzan, Lord of the Jungle",1928,J. Allen St. John,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 21, 2024, 7:19 p.m.",Download
0001070,Noli Me Tangere,José Rizal,1887,Spanish,Fiction,"170,822",10 hours 22 minutes,69.21,Fairly easy,Charles E. Derbyshire,,No,Carnival Scene,1860-69,Eugenio Lucas Velázquez,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 21, 2024, 8:31 p.m.",Download
0001071,Moribund Society and Anarchy,Jean Grave,1893,French,Philosophy,"66,612",4 hours 3 minutes,38.08,Very difficult,Voltairine de Cleyre,,No,The Iron Foundry,1899,Maximilien Luce,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 21, 2024, 10:26 p.m.",Download
0001072,Short Fiction,Nella Larsen,1929,English,"Fiction, Shorts","38,111",2 hours 19 minutes,75.71,Fairly easy,,,No,Duality,1925-30,Alfred Henry Maurer,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 23, 2024, 10:54 p.m.",Download
0001073,The Unicorn from the Stars,"Lady Gregory, W. B. Yeats",1908,English,Drama,"15,443",57 minutes,91.82,Very easy,,,No,Les Licornes,1885,Gustave Moreau,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 28, 2024, 9:19 p.m.",Download
0001074,Short Fiction,Frank Belknap Long,1922-54,English,"Horror, Science Fiction, Shorts","108,374",6 hours 35 minutes,74.9,Fairly easy,,,No,Landscape in the Park,1920,Fritz Stuckenberg,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 29, 2024, 2:26 a.m.",Download
0001075,Evelina,Fanny Burney,1778,English,"Fiction, Satire","157,294",9 hours 32 minutes,67.08,Average difficulty,,,No,Woman Reading by a Paper-Bell Shade,1766,Henry Robert Morland,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 29, 2024, 8:11 p.m.",Download
0001076,History of the Peloponnesian War,Thucydides,-433,Greek,Nonfiction,"204,889",12 hours 26 minutes,39.34,Difficult,Richard Crawley,,No,Pericles’ Funeral Oration,1852,Philipp Foltz,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 29, 2024, 9:18 p.m.",Download
0001077,Là-Bas,J.-K. Huysmans,1891,French,Fiction,"90,540",5 hours 30 minutes,62.48,Average difficulty,Keene Wallace,,Yes,Allegory of Satan (Lord of the World),1900,Ludwik Stasiak,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 4, 2024, 4:36 p.m.",Download
0001078,A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,English,"Nonfiction, Philosophy","83,400",5 hours 4 minutes,45.22,Difficult,,,No,Portrait of Mary Wollstonecraft,1791,John Opie,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 11, 2024, 10:16 p.m.",Download
0001079,Sticks and Stones,Lewis Mumford,1924,English,Nonfiction,"41,247",2 hours 30 minutes,39,Very difficult,,,No,"New York, Lower Manhattan",1921,Stefan Hirsch,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 11, 2024, 10:29 p.m.",Download
0001080,The Practice and Theory of Bolshevism,Bertrand Russell,1920,English,"Nonfiction, Philosophy","37,130",2 hours 16 minutes,45.8,Difficult,,,No,The Bolshevik,1918,David Jagger,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 11, 2024, 10:39 p.m.",Download
0001081,Short Fiction,E. M. Forster,1903-20,English,"Fantasy, Science Fiction, Shorts","78,712",4 hours 47 minutes,74.49,Fairly easy,,,No,The Balloon Apron,1918,Frank Dobson,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 12, 2024, 5:47 p.m.",Download
0001082,Leviathan,Thomas Hobbes,1651,English,"Nonfiction, Philosophy","208,296",12 hours 38 minutes,49.93,Fairly difficult,,,No,Thomas Hobbes,1669-70,John Michael Wright,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 12, 2024, 9:35 p.m.",Download
0001083,The Masqueraders,Georgette Heyer,1928,English,Fiction,"93,367",5 hours 40 minutes,85.89,Easy,,,No,Carnival,1909,Gösta von Hennigs,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 13, 2024, 2:25 a.m.",Download
0001084,These Old Shades,Georgette Heyer,1926,English,Fiction,"105,598",6 hours 24 minutes,87.21,Easy,,,Yes,Madame Bergeret,1766,François Boucher,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 16, 2024, 1:45 a.m.",Download
0001085,Scrambles Amongst the Alps in the Years 1860–69,Edward Whymper,1871,English,"Memoir, Nonfiction, Travel","139,852",8 hours 29 minutes,66.47,Average difficulty,,,No,The Matterhorn,1871,John Ferguson Weir,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 20, 2024, 3:10 a.m.",Download
0001086,Béatrix,Honoré de Balzac,1839,French,Fiction,"120,341",7 hours 18 minutes,66.88,Average difficulty,James Waring,,Yes,"Lady Elizabeth Stanley (1753-1797), Countess of Derby",1778,George Romney,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 20, 2024, 11:02 p.m.",Download
0001087,El Filibusterismo,José Rizal,1891,Spanish,Fiction,"113,764",6 hours 54 minutes,58.42,Fairly difficult,Charles E. Derbyshire,,No,Portrait of José Rizal,1899,Juna Luna,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 21, 2024, 4:34 p.m.",Download
0001088,Short Fiction,Hjalmar Söderberg,1898-1907,Swedish,"Fiction, Shorts","25,024",1 hour 31 minutes,78.69,Fairly easy,"Charles Wharton Stork, Esther Rapp",,No,Portrait of Hjalmar Söderberg,1916,Gerda Wallander,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 25, 2024, 8:40 p.m.",Download
0001089,You Never Can Tell,George Bernard Shaw,1897,English,"Comedy, Drama","35,592",2 hours 10 minutes,69.38,Fairly easy,,,No,Restaurant “Mille Colonnes” in Amsterdam,1865-1934,Isaac Israëls,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 25, 2024, 9:10 p.m.",Download
0001090,The Story of Utopias,Lewis Mumford,1922,English,"Nonfiction, Philosophy","78,211",4 hours 45 minutes,39.3,Difficult,,,No,Chariot of the Sun,1909,Pickney Marcius-Simons,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 29, 2024, 10:51 p.m.",Download
0001091,The Maid of Sker,R. D. Blackmore,1872,English,Fiction,"213,414",12 hours 57 minutes,70.57,Fairly easy,,,No,The Age of Innocence,1785,Joshua Reynolds,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 30, 2024, 6:32 p.m.",Download
0001092,The Man of Destiny,George Bernard Shaw,1898,English,"Comedy, Drama","16,226",1 hour,67.76,Average difficulty,,,No,"Mayor de Croeser Receives Napoleon Bonaparte in the City Hall of Bruges, 1803",1807,Joseph Denis Odevaere,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 30, 2024, 7:43 p.m.",Download
0001093,The Viaduct Murder,Ronald A. Knox,1925,English,"Fiction, Mystery","60,974",3 hours 42 minutes,71.24,Fairly easy,,,No,The Railway Bridge at Argenteuil,1874,Claude Monet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 2, 2024, 4:26 p.m.",Download
0001094,The Secret of Chimneys,Agatha Christie,1925,English,"Fiction, Mystery","76,928",4 hours 40 minutes,77.84,Fairly easy,,,Yes,The Secret of Chimneys,1925,Percy Graves,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 3, 2024, 11:15 p.m.",Download
0001095,The Mirror of the Sea,Joseph Conrad,1906,English,"Memoir, Nonfiction, Travel","61,957",3 hours 46 minutes,63.73,Average difficulty,,,No,"The Pool, London",1878,Edwin Edwards,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 6, 2024, 8:24 p.m.",Download
0001096,Quicksand,Nella Larsen,1928,English,Fiction,"47,159",2 hours 52 minutes,65.32,Average difficulty,,,No,Jossa,1915-18,Christian Krohg,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 6, 2024, 10:53 p.m.",Download
0001097,A Woman of Thirty,Honoré de Balzac,1839,French,Fiction,"71,128",4 hours 19 minutes,67.59,Average difficulty,Ellen Marriage,,Yes,Portrait d’Adèle Foucher,1820,Julie Duvidal de Montferrier,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 9, 2024, 6:30 p.m.",Download
0001098,The Starvel Hollow Tragedy,Freeman Wills Crofts,1927,English,"Fiction, Mystery","89,779",5 hours 27 minutes,72.46,Fairly easy,,,Yes,The Starvel Hollow Tragedy,1927,Salomon van Abbé,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 9, 2024, 7:55 p.m.",Download
0001099,Cornelli,Johanna Spyri,1890,German,"Children’s, Fiction","50,112",3 hours 3 minutes,82.54,Easy,Elisabeth P. Stork,,No,The Orchard,1937,Henry Tonks,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 9, 2024, 8:06 p.m.",Download
0001100,Lady Chatterley’s Lover,D. H. Lawrence,1929,English,Fiction,"120,447",7 hours 18 minutes,84.68,Easy,,,No,Study of a Seated Woman,1909,Alice Pike Barney,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 10, 2024, 5:22 p.m.",Download
0001101,Oedipus Rex,Sophocles,-430,Ancient Greek,Drama,"13,026",48 minutes,81.93,Easy,Francis Storr,,Yes,Oedipus and the Sphinx,1864,Gustave Moreau,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 10, 2024, 6:03 p.m.",Download
0001102,Poetry,Thomas Gray,1747-1915,English,Poetry,"13,443",49 minutes,66.88,Average difficulty,,,No,Thomas Gray,1747-48,John Giles Eccart,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 10, 2024, 7:02 p.m.",Download
0001103,Murder in the Maze,J. J. Connington,1927,English,"Fiction, Mystery","80,838",4 hours 54 minutes,75.4,Fairly easy,,,Yes,Surrey Garden,1924,Elliott Seabrooke,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 12, 2024, 8:16 p.m.",Download
